Player_ID,MP,Starts,Min,Min/90,Goals,Shots,SoT,SoT%
2078,7,3,348,3.9,0,1.03,0,0
2079,14,5,503,5.6,0,2.5,0.89,35.7
2080,16,9,860,9.6,3,2.92,0.94,32.1
2081,13,11,1044,11.6,0,0.34,0.09,25
2082,4,0,49,0.5,0,0,0,0
2083,20,20,1800,20,0,0,0,0
2084,18,16,1324,14.7,0,0.61,0.2,33.3
2085,4,3,331,3.7,0,0,0,0
2086,19,11,1010,11.2,3,2.77,0.98,35.5
2087,20,14,1271,14.1,3,2.41,0.92,38.2
2088,2,0,4,0,0,0,0,0
2089,12,5,544,6,2,1,0.5,50
2090,20,19,1487,16.5,1,1.39,0.3,21.7
2091,18,15,1322,14.7,0,0.61,0.07,11.1
2092,20,20,1738,19.3,0,0.05,0,0
2093,4,0,67,0.7,0,2.86,0,0
2094,20,19,1461,16.2,1,0.93,0.37,40
2095,15,14,1155,12.8,0,0.47,0.08,16.7
2096,2,2,180,2,0,0,0,0
2097,16,9,720,8,3,0.5,0.38,75
2098,13,13,1168,13,1,0.54,0.15,28.6
2099,20,20,1733,19.3,1,1.61,0.36,22.6
2100,18,17,1296,14.4,10,3.61,1.32,36.5
2101,16,12,902,10,2,0.8,0.3,37.5
2102,8,1,208,2.3,0,3.04,0.87,28.6
2103,19,14,1198,13.3,2,2.26,1.05,46.7
2104,20,15,1174,13,1,0.85,0.38,45.5
2105,18,17,1478,16.4,0,0.55,0.24,44.4
2106,4,0,54,0.6,0,0,0,0
2107,19,14,1373,15.3,0,0.39,0.13,33.3
2108,18,12,1189,13.2,4,3.79,0.98,26
2109,14,10,933,10.4,0,0.29,0,0
2110,10,9,810,9,0,0.33,0,0
2111,20,19,1648,18.3,0,0.33,0.05,16.7
2112,21,20,1772,19.7,1,0.36,0.1,28.6
2113,14,13,1194,13.3,0,0.45,0.15,33.3
2114,1,0,11,0.1,0,0,0,0
2115,5,1,138,1.5,1,2.67,0.67,25
2116,1,1,74,0.8,0,0,0,0
2117,17,17,1530,17,1,0.94,0.18,18.8
2118,10,4,525,5.8,1,4.31,1.03,24
2119,1,0,1,0,0,0,0,0
2120,7,1,109,1.2,0,3.33,0.83,25
2121,22,20,1772,19.7,1,0.61,0.1,16.7
2122,20,19,1614,17.9,0,0.45,0.06,12.5
2123,17,9,984,10.9,0,0.46,0,0
2124,1,0,14,0.2,0,0,0,0
2125,7,1,157,1.7,0,0.59,0.59,100
2126,22,22,1972,21.9,2,0.55,0.27,50
2127,4,0,22,0.2,0,0,0,0
2128,4,2,161,1.8,0,1.11,0.56,50
2129,12,10,879,9.8,0,0.92,0.1,11.1
2130,3,0,27,0.3,0,6.67,0,0
2131,14,13,1206,13.4,1,0.9,0.07,8.3
2132,8,6,506,5.6,0,0.36,0,0
2133,9,3,352,3.9,0,1.54,0,0
2134,18,13,1226,13.6,1,1.03,0.22,21.4
2135,13,3,419,4.7,0,0.21,0.21,100
2136,3,3,258,2.9,0,0.69,0.34,50
2137,10,4,462,5.1,0,0.98,0,0
2138,17,16,1359,15.1,0,0.53,0.13,25
2139,17,8,827,9.2,0,0.98,0.22,22.2
2140,1,1,62,0.7,0,0,0,0
2141,14,11,941,10.5,1,1.24,0.19,15.4
2142,6,3,362,4,0,0.25,0,0
2143,14,14,1260,14,0,0,0,0
2144,3,2,145,1.6,0,0,0,0
2145,2,0,52,0.6,0,0,0,0
2146,15,11,1009,11.2,2,2.41,1.25,51.9
2147,13,12,1037,11.5,0,1.39,0.43,31.3
2148,4,4,358,4,1,1.25,0.5,40
2149,16,16,1440,16,0,0,0,0
2150,22,22,1980,22,0,0,0,0
2151,14,11,996,11.1,0,0.45,0.09,20
2152,5,4,267,3,0,0,0,0
2153,13,11,914,10.2,1,2.45,0.78,32
2154,2,1,91,1,0,3,1,33.3
2155,15,7,628,7,1,2.14,0.71,33.3
2156,19,14,1256,14,0,0.21,0,0
2157,3,3,240,2.7,2,2.59,1.11,42.9
2158,2,1,82,0.9,1,1.11,1.11,100
2159,14,8,687,7.6,0,1.45,0.39,27.3
2160,17,6,597,6.6,5,3.64,1.36,37.5
2161,14,6,635,7.1,1,2.39,0.85,35.3
2162,5,5,355,3.9,1,0.77,0.51,66.7
